type,number,c0,cc0,c1,cc1,c2,cc2,a0,a1,a2,a3,bin,w,csum,p0,p1,p2,assembly
0,0,1254455,[643 643 643 ... 617 620 613],3832316,[1940 1889 1842 ... 1812 1790 1889],321229,[121 172 219 ... 275 294 202],0,0,0,0,2000,1.0,5408000,0.2319628328402367,0.7086383136094675,0.05939885355029586,[]
1,1,1099328,[525 527 526 ... 556 548 574],2271433,[1206  981 1190 ... 1257  814  753],2037239,[ 973 1196  988 ...  891 1342 1377],1,0,0,0,2000,1.0,5408000,0.20327810650887573,0.42001349852071007,0.3767083949704142,[1]
1,2,1254036,[642 642 642 ... 613 610 613],3486745,[1638 1630 1628 ... 1758 1759 1825],667219,[424 432 434 ... 333 335 266],2,0,0,0,2000,1.0,5408000,0.2318853550295858,0.644738350591716,0.12337629437869822,[2]
1,4,1095364,[496 507 495 ... 561 591 529],624470,[291 686 311 ... 510 533 337],3688166,[1917 1511 1898 ... 1633 1580 1838],4,0,0,0,2000,1.0,5408000,0.20254511834319527,0.11547152366863905,0.6819833579881657,[4]
1,8,1254707,[643 643 643 ... 599 617 605],3329757,[1544 1529 1586 ... 1906 1712 1769],823536,[517 532 475 ... 199 375 330],8,0,0,0,2000,1.0,5408000,0.23200943047337277,0.6157095044378699,0.15228106508875738,[8]
1,16,1254986,[643 643 643 ... 611 614 614],3125963,[1512 1491 1497 ... 1482 1683 1727],1027051,[549 570 564 ... 611 407 363],16,0,0,0,2000,1.0,5408000,0.23206102071005918,0.5780257026627219,0.18991327662721894,[16]
1,32,1254959,[643 643 643 ... 601 604 618],3341203,[1606 1564 1573 ... 1804 1836 1836],811838,[455 497 488 ... 299 264 250],32,0,0,0,2000,1.0,5408000,0.23205602810650888,0.6178259985207101,0.15011797337278107,[32]
1,64,1254309,[643 643 643 ... 605 613 618],3091153,[1423 1432 1341 ... 1477 1716 1704],1062538,[638 629 720 ... 622 375 382],64,0,0,0,2000,1.0,5408000,0.23193583579881658,0.5715889423076923,0.19647522189349112,[64]
1,128,1254376,[643 643 643 ... 606 618 605],3366848,[1627 1484 1585 ... 1888 1703 1741],786776,[434 577 476 ... 210 383 358],128,0,0,0,2000,1.0,5408000,0.231948224852071,0.6225680473372781,0.1454837278106509,[128]
2,10,1238392,[642 643 643 ... 592 597 599],3247917,[1470 1477 1499 ... 1781 1831 1676],921691,[592 584 562 ... 331 276 429],2,8,0,0,2000,1.0,5408000,0.22899260355029585,0.6005763683431953,0.17043102810650887,"[2, 8]"
2,18,1238121,[642 643 643 ... 597 597 588],3038139,[1451 1466 1440 ... 1661 1604 1607],1131740,[611 595 621 ... 446 503 509],2,16,0,0,2000,1.0,5408000,0.2289424926035503,0.5617860576923077,0.20927144970414202,"[2, 16]"
2,24,1238896,[643 643 643 ... 587 602 598],2890740,[1434 1424 1389 ... 1539 1564 1549],1278364,[627 637 672 ... 578 538 557],8,16,0,0,2000,1.0,5408000,0.22908579881656804,0.534530325443787,0.23638387573964498,"[8, 16]"
2,34,1237933,[643 643 642 ... 606 595 589],3258327,[1544 1581 1558 ... 1815 1629 1660],911740,[517 480 504 ... 283 480 455],2,32,0,0,2000,1.0,5408000,0.22890772928994083,0.6025012943786983,0.16859097633136094,"[2, 32]"
2,40,1238229,[643 643 643 ... 592 596 583],3137282,[1466 1570 1409 ... 1446 1630 1688],1032489,[595 491 652 ... 666 478 433],8,32,0,0,2000,1.0,5408000,0.22896246301775147,0.5801187130177515,0.19091882396449705,"[8, 32]"
2,66,1237878,[643 643 643 ... 596 614 595],2998942,[1376 1468 1323 ... 1619 1218 1641],1171180,[685 593 738 ... 489 872 468],2,64,0,0,2000,1.0,5408000,0.22889755917159763,0.5545380917159763,0.21656434911242603,"[2, 64]"
2,72,1238631,[643 643 643 ... 603 598 592],2846981,[1439 1327 1326 ... 1497 1524 1636],1322388,[622 734 735 ... 604 582 476],8,64,0,0,2000,1.0,5408000,0.2290367973372781,0.5264387943786982,0.24452440828402366,"[8, 64]"
2,80,1238510,[643 643 643 ... 588 601 592],2631244,[1169 1412 1431 ... 1347 1300 1443],1538246,[892 649 630 ... 769 803 669],16,64,0,0,2000,1.0,5408000,0.22901442307692307,0.48654659763313607,0.28443897928994083,"[16, 64]"
2,96,1238835,[643 643 643 ... 612 605 599],2848021,[1251 1252 1344 ... 1384 1599 1468],1321144,[810 809 717 ... 708 500 637],32,64,0,0,2000,1.0,5408000,0.22907451923076924,0.5266311020710059,0.24429437869822485,"[32, 64]"
2,130,1238068,[643 643 643 ... 609 599 601],3280618,[1597 1528 1489 ... 1867 1701 1747],889314,[464 533 572 ... 228 404 356],2,128,0,0,2000,1.0,5408000,0.2289326923076923,0.606623150887574,0.16444415680473373,"[2, 128]"
2,136,1238852,[643 643 643 ... 597 593 599],3128233,[1490 1438 1507 ... 1712 1568 1699],1040915,[571 623 554 ... 395 543 406],8,128,0,0,2000,1.0,5408000,0.2290776627218935,0.5784454511834319,0.19247688609467456,"[8, 128]"
2,144,1239208,[643 643 643 ... 594 596 596],2910396,[1419 1459 1363 ... 1646 1599 1605],1258396,[642 602 698 ... 464 509 503],16,128,0,0,2000,1.0,5408000,0.22914349112426036,0.5381649408284024,0.2326915680473373,"[16, 128]"
2,160,1238620,[643 643 643 ... 602 588 593],3127120,[1403 1584 1472 ... 1735 1683 1748],1042260,[658 477 589 ... 367 433 363],32,128,0,0,2000,1.0,5408000,0.22903476331360947,0.5782396449704142,0.19272559171597634,"[32, 128]"
3,26,1228021,[642 642 643 ... 575 598 582],2826982,[1389 1354 1304 ... 1553 1500 1457],1352997,[673 708 757 ... 576 606 665],2,8,16,0,2000,1.0,5408000,0.22707488905325443,0.5227407544378698,0.2501843565088757,"[2, 8, 16]"
3,42,1228282,[643 642 643 ... 580 582 583],3027629,[1344 1469 1433 ... 1376 1590 1437],1152089,[717 593 628 ... 748 532 684],2,8,32,0,2000,1.0,5408000,0.22712315088757395,0.5598426405325444,0.21303420857988165,"[2, 8, 32]"
3,74,1228076,[643 643 642 ... 587 589 587],2773841,[1215 1280 1324 ... 1149 1457 1431],1406083,[846 781 738 ... 968 658 686],2,8,64,0,2000,1.0,5408000,0.22708505917159763,0.5129143860946745,0.2600005547337278,"[2, 8, 64]"
3,82,1228198,[643 643 643 ... 577 580 573],2558891,[1137 1360 1200 ... 1231 1485 1342],1620911,[924 701 861 ... 896 639 789],2,16,64,0,2000,1.0,5408000,0.22710761834319526,0.4731677144970414,0.2997246671597633,"[2, 16, 64]"
3,88,1228370,[643 643 643 ... 576 585 580],2490991,[1374 1314 1131 ... 1237 1156 1292],1688639,[687 747 930 ... 891 963 832],8,16,64,0,2000,1.0,5408000,0.22713942307692309,0.46061224112426036,0.31224833579881656,"[8, 16, 64]"
3,98,1227832,[643 643 643 ... 582 582 594],2772557,[1290 1451 1399 ... 1213 1468 1437],1407611,[771 610 662 ... 909 654 673],2,32,64,0,2000,1.0,5408000,0.22703994082840237,0.5126769600591716,0.26028309911242603,"[2, 32, 64]"
3,104,1228825,[643 643 643 ... 581 595 584],2711695,[1447 1274 1286 ... 1334 1556 1179],1467480,[614 787 775 ... 789 553 941],8,32,64,0,2000,1.0,5408000,0.2272235576923077,0.5014228920118343,0.271353550295858,"[8, 32, 64]"
3,138,1228237,[643 643 642 ... 573 585 576],3045377,[1516 1402 1471 ... 1495 1616 1437],1134386,[545 659 591 ... 636 503 691],2,8,128,0,2000,1.0,5408000,0.2271148298816568,0.5631244452662721,0.209760724852071,"[2, 8, 128]"
3,146,1227928,[643 642 643 ... 584 567 591],2837634,[1438 1425 1223 ... 1457 1431 1411],1342438,[623 637 838 ... 663 706 702],2,16,128,0,2000,1.0,5408000,0.22705769230769232,0.5247104289940828,0.24823187869822486,"[2, 16, 128]"
3,152,1228576,[643 643 643 ... 589 595 591],2684750,[1292 1281 1383 ... 1389 1478 1565],1494674,[769 780 678 ... 726 631 548],8,16,128,0,2000,1.0,5408000,0.2271775147928994,0.49644045857988167,0.27638202662721895,"[8, 16, 128]"
3,162,1285250,[643 643 643 ... 643 643 643],2880016,[1441 1441 1385 ... 1526 1424 1405],1242734,[620 620 676 ... 535 637 656],2,32,128,0,2000,1.0,5408000,0.23765717455621302,0.5325473372781065,0.22979548816568046,"[2, 32, 128]"
3,168,1228076,[643 643 643 ... 581 579 577],2901446,[1346 1576 1336 ... 1650 1587 1348],1278478,[715 485 725 ... 473 538 779],8,32,128,0,2000,1.0,5408000,0.22708505917159763,0.5365099852071006,0.2364049556213018,"[8, 32, 128]"
4,90,1221323,[643 643 643 ... 580 575 563],2346581,[1089 1228 1215 ... 1044 1230 1054],1840096,[ 972  833  846 ... 1080  899 1087],2,8,16,64,2000,1.0,5408000,0.22583635355029585,0.43390920857988163,0.3402544378698225,"[2, 8, 16, 64]"
4,106,1220845,[642 642 643 ... 581 584 579],2549700,[1100 1362 1236 ... 1285 1432 1090],1637455,[ 962  700  825 ...  838  688 1035],2,8,32,64,2000,1.0,5408000,0.22574796597633137,0.4714681952662722,0.30278383875739645,"[2, 8, 32, 64]"
4,154,1221424,[642 642 643 ... 578 584 572],2605293,[1209 1330 1295 ... 1380 1475 1219],1581283,[853 732 766 ... 746 645 913],2,8,16,128,2000,1.0,5408000,0.2258550295857988,0.48174796597633135,0.2923970044378698,"[2, 8, 16, 128]"
4,170,1220881,[643 643 642 ... 576 573 571],2814375,[1202 1295 1364 ... 1392 1440 1384],1372744,[859 766 698 ... 736 691 749],2,8,32,128,2000,1.0,5408000,0.2257546227810651,0.5204095784023669,0.25383579881656804,"[2, 8, 32, 128]"
